sentence,entity1,entity2,label
It demonstrates that the proposed cluster tree achieves better temporal consistency than the previous sequential and non-sequential tracking approaches .,cluster tree,sequential and non-sequential tracking approaches,COMPARE
It demonstrates that the proposed cluster tree achieves better temporal consistency than the previous sequential and non-sequential tracking approaches .,temporal consistency,cluster tree,EVALUATE-FOR
Quantitative analysis on a created synthetic facial performance also shows an improvement by the cluster tree .,synthetic facial performance,cluster tree,EVALUATE-FOR
The translation of English text into American Sign Language -LRB- ASL -RRB- animation tests the limits of traditional MT architectural designs .,MT architectural designs,translation of English text into American Sign Language -LRB- ASL -RRB- animation,USED-FOR
A new semantic representation is proposed that uses virtual reality 3D scene modeling software to produce spatially complex ASL phenomena called '' classifier predicates . '',semantic representation,spatially complex ASL phenomena,USED-FOR
A new semantic representation is proposed that uses virtual reality 3D scene modeling software to produce spatially complex ASL phenomena called '' classifier predicates . '',virtual reality 3D scene modeling software,semantic representation,USED-FOR
A new semantic representation is proposed that uses virtual reality 3D scene modeling software to produce spatially complex ASL phenomena called '' classifier predicates . '',classifier predicates,spatially complex ASL phenomena,HYPONYM-OF
The model acts as an interlingua within a new multi-pathway MT architecture design that also incorporates transfer and direct approaches into a single system .,transfer,direct approaches,CONJUNCTION
The model acts as an interlingua within a new multi-pathway MT architecture design that also incorporates transfer and direct approaches into a single system .,transfer,system,PART-OF
The model acts as an interlingua within a new multi-pathway MT architecture design that also incorporates transfer and direct approaches into a single system .,direct approaches,system,PART-OF
"An extension to the GPSG grammatical formalism is proposed , allowing non-terminals to consist of finite sequences of category labels , and allowing schematic variables to range over such sequences .",GPSG grammatical formalism,extension,USED-FOR
"The extension is shown to be sufficient to provide a strongly adequate grammar for crossed serial dependencies , as found in e.g. Dutch subordinate clauses .",extension,grammar,USED-FOR
"The extension is shown to be sufficient to provide a strongly adequate grammar for crossed serial dependencies , as found in e.g. Dutch subordinate clauses .",grammar,crossed serial dependencies,USED-FOR
The extension is shown to be parseable by a simple extension to an existing parsing method for GPSG .,extension,extension,USED-FOR
The extension is shown to be parseable by a simple extension to an existing parsing method for GPSG .,parsing method,extension,USED-FOR
The extension is shown to be parseable by a simple extension to an existing parsing method for GPSG .,parsing method,GPSG,USED-FOR
This paper presents an approach to localizing functional objects in surveillance videos without domain knowledge about semantic object classes that may appear in the scene .,approach,localizing functional objects,USED-FOR
This paper presents an approach to localizing functional objects in surveillance videos without domain knowledge about semantic object classes that may appear in the scene .,surveillance videos,localizing functional objects,USED-FOR
This paper presents an approach to localizing functional objects in surveillance videos without domain knowledge about semantic object classes that may appear in the scene .,semantic object classes,domain knowledge,FEATURE-OF
"A Bayesian framework is used to probabilistically model : people 's trajectories and intents , constraint map of the scene , and locations of functional objects .",Bayesian framework,people 's trajectories and intents,USED-FOR
"A Bayesian framework is used to probabilistically model : people 's trajectories and intents , constraint map of the scene , and locations of functional objects .",Bayesian framework,constraint map of the scene,USED-FOR
"A Bayesian framework is used to probabilistically model : people 's trajectories and intents , constraint map of the scene , and locations of functional objects .",Bayesian framework,locations of functional objects,USED-FOR
"A Bayesian framework is used to probabilistically model : people 's trajectories and intents , constraint map of the scene , and locations of functional objects .",people 's trajectories and intents,constraint map of the scene,CONJUNCTION
